TS,Lat,Lat_MIn,Lon,Lon_Min,Thru
"2017-03-09 15:07:27",45,40.8926,110,54.9624,2.47
"2017-03-09 15:09:05",45,40.6796,110,56.305,2.38
"2017-03-09 15:12:22",45,40.1775,110,58.8635,2.49
"2017-03-09 15:16:05",45,41.6939,111,2.1333,2.47
"2017-03-09 15:19:22",45,44.0057,111,5.8052,2.51
"2017-03-09 15:07:27",45,40.8926,110,54.9624,2.47
"2017-03-09 15:09:05",45,40.6796,110,56.305,2.38
"2017-03-09 15:12:22",45,40.1775,110,58.8635,2.49
"2017-03-09 15:16:05",45,41.6939,111,2.1333,2.47
"2017-03-09 15:19:22",45,44.0057,111,5.8052,2.51
"2017-03-09 15:07:27",45,40.8926,110,54.9624,2.47
"2017-03-09 15:09:05",45,40.6796,110,56.305,2.38
"2017-03-09 15:12:22",45,40.1775,110,58.8635,2.49
"2017-03-09 15:16:05",45,41.6939,111,2.1333,2.47
"2017-03-09 15:19:22",45,44.0057,111,5.8052,2.51
