Lat,Lat_MIn,Lon,Lon_Min,Thru
48,27.1081,107,14.6778,3.09
48,27.1081,107,14.7059,3.09
48,26.8798,107,11.559,3.62
48,25.2012,107,9.6325,3.32
48,23.679,107,3.4908,2.9
48,24.0641,107,1.6061,3.2
48,24.0637,107,0.5337,2.83
48,23.6292,106,58.5322,2.9
48,23.2157,106,52.2389,2.76
48,11.7755,106,38.119,3.48
48,22.8572,106,38.119,3.48
48,11.7755,106,49.1577,3.48
48,22.8572,106,49.1577,3.48
48,11.7758,106,38.1188,2.8
48,22.4008,106,38.1188,2.8
48,11.7759,106,38.1188,3.08
48,22.0466,106,38.1188,3.08
48,11.7761,106,38.1187,3.36
48,21.6007,106,38.1187,3.36
48,11.7761,106,46.5608,3.36
48,21.6007,106,46.5608,3.36
48,11.7761,106,38.1187,3.21
48,21.1497,106,38.1187,3.21
48,11.7762,106,38.1188,2.93
48,20.5449,106,38.1188,2.93
48,11.7762,106,38.1187,2.77
48,19.9378,106,38.1187,2.77
48,11.7762,106,44.8076,2.77
48,19.9378,106,44.8076,2.77
48,11.7762,106,38.1187,2.51
48,18.7369,106,38.1187,2.51
48,11.7763,106,38.1187,3.16
48,18.144,106,38.1187,3.16
48,11.7763,106,43.0643,3.16
48,18.144,106,43.0643,3.16
48,11.7764,106,38.1187,3.15
48,11.7764,106,38.1187,3.45
48,11.7765,106,38.1187,2.45
48,11.7765,106,38.1187,2.9
48,11.7765,106,42.7994,2.9
48,11.7847,106,38.1195,3.06
48,11.7914,106,38.1177,2.8
48,11.853,106,38.2838,3.27
48,11.8543,106,42.4352,NULL
48,11.8515,106,38.3212,3.06
48,11.8515,106,42.3553,3.06
48,11.8395,106,38.2646,3.27
48,11.8204,106,38.2095,3.1
48,16.8438,106,38.2095,3.1
48,11.7114,106,42.0208,3.07
48,16.6782,106,42.0208,3.07
48,11.7103,106,38.2316,3.08
48,16.6644,106,38.2316,3.08
48,11.7103,106,38.235,3.08
48,16.6644,106,38.235,3.08
48,11.7103,106,41.9893,3.08
